Chain_ID,Chain_Name,Step_Number,Total_Steps_In_Chain,Disease_At_This_Step,Next_Disease_In_Progression,Avg_Years_To_Next_Disease,Cumulative_Years_From_Chain_Start,Biological_Mechanism,Evidence_Source,Key_Risk_Factors,Is_First_Disease,Is_Last_Disease
CHAIN_003,Obesity → Hypertension → Hypertensive Heart Disease → Heart Block → Atrial Fibrillation,3,5,Hypertensive Heart Disease,Heart Block,3,9.0,Excess adiposity raises BP → left ventricular hypertrophy → conduction system fibrosis → arrhythmia,Lancet Digital Health multimorbidity study 2022,"Male sex, age>50, alcohol use, sleep apnea",No,No
CHAIN_003,Obesity → Hypertension → Hypertensive Heart Disease → Heart Block → Atrial Fibrillation,4,5,Heart Block,Atrial Fibrillation,2,12.0,Excess adiposity raises BP → left ventricular hypertrophy → conduction system fibrosis → arrhythmia,Lancet Digital Health multimorbidity study 2022,"Male sex, age>50, alcohol use, sleep apnea",No,No
CHAIN_003,Obesity → Hypertension → Hypertensive Heart Disease → Heart Block → Atrial Fibrillation,5,5,Atrial Fibrillation,End of trajectory,—,14.0,Excess adiposity raises BP → left ventricular hypertrophy → conduction system fibrosis → arrhythmia,Lancet Digital Health multimorbidity study 2022,"Male sex, age>50, alcohol use, sleep apnea",No,Yes
CHAIN_004,Obesity → Nonalcoholic Liver Disease (NASH) → Cirrhosis → Liver Cancer,1,4,Obesity,Nonalcoholic Liver Disease (NASH),5,0.0,Hepatic steatosis from fat accumulation → NASH → hepatic fibrosis → cirrhosis → hepatocellular carcinoma,PMC sequential pattern mining study 2025,"Alcohol use, T2DM, metabolic syndrome",Yes,No
CHAIN_004,Obesity → Nonalcoholic Liver Disease (NASH) → Cirrhosis → Liver Cancer,2,4,Nonalcoholic Liver Disease (NASH),Cirrhosis,8,5.0,Hepatic steatosis from fat accumulation → NASH → hepatic fibrosis → cirrhosis → hepatocellular carcinoma,PMC sequential pattern mining study 2025,"Alcohol use, T2DM, metabolic syndrome",No,No
CHAIN_004,Obesity → Nonalcoholic Liver Disease (NASH) → Cirrhosis → Liver Cancer,3,4,Cirrhosis,Liver Cancer,6,13.0,Hepatic steatosis from fat accumulation → NASH → hepatic fibrosis → cirrhosis → hepatocellular carcinoma,PMC sequential pattern mining study 2025,"Alcohol use, T2DM, metabolic syndrome",No,No
CHAIN_004,Obesity → Nonalcoholic Liver Disease (NASH) → Cirrhosis → Liver Cancer,4,4,Liver Cancer,End of trajectory,—,19.0,Hepatic steatosis from fat accumulation → NASH → hepatic fibrosis → cirrhosis → hepatocellular carcinoma,PMC sequential pattern mining study 2025,"Alcohol use, T2DM, metabolic syndrome",No,Yes
CHAIN_005,Influenza → Pneumonia → Atelectasis → Pulmonary Fibrosis,1,4,Influenza (Flu),Pneumonia,0.1,0.0,Viral pneumonitis → bacterial superinfection → lung collapse → irreversible fibrotic scarring,WHO global respiratory disease trajectories; PMID:35306857,"Immunosuppression, elderly, smokers, unvaccinated",Yes,No
CHAIN_005,Influenza → Pneumonia → Atelectasis → Pulmonary Fibrosis,2,4,Pneumonia,Atelectasis,1,0.1,Viral pneumonitis → bacterial superinfection → lung collapse → irreversible fibrotic scarring,WHO global respiratory disease trajectories; PMID:35306857,"Immunosuppression, elderly, smokers, unvaccinated",No,No
CHAIN_005,Influenza → Pneumonia → Atelectasis → Pulmonary Fibrosis,3,4,Atelectasis,Pulmonary Fibrosis,3,1.1,Viral pneumonitis → bacterial superinfection → lung collapse → irreversible fibrotic scarring,WHO global respiratory disease trajectories; PMID:35306857,"Immunosuppression, elderly, smokers, unvaccinated",No,No
CHAIN_005,Influenza → Pneumonia → Atelectasis → Pulmonary Fibrosis,4,4,Pulmonary Fibrosis,End of trajectory,—,4.1,Viral pneumonitis → bacterial superinfection → lung collapse → irreversible fibrotic scarring,WHO global respiratory disease trajectories; PMID:35306857,"Immunosuppression, elderly, smokers, unvaccinated",No,Yes
CHAIN_006,Malaria → Anemia → Anemia of Chronic Disease → Kidney Failure,1,4,Malaria,Anemia,0.2,0.0,Plasmodium hemolysis → chronic anemia → erythropoietin deficiency from renal inflammation → CKD progression,Sub-Saharan Africa comorbidity studies; WHO Kenya disease burden data,"Repeated malaria episodes, sickle cell trait, malnutrition",Yes,No
CHAIN_006,Malaria → Anemia → Anemia of Chronic Disease → Kidney Failure,2,4,Anemia,Anemia of Chronic Disease,2,0.2,Plasmodium hemolysis → chronic anemia → erythropoietin deficiency from renal inflammation → CKD progression,Sub-Saharan Africa comorbidity studies; WHO Kenya disease burden data,"Repeated malaria episodes, sickle cell trait, malnutrition",No,No
CHAIN_006,Malaria → Anemia → Anemia of Chronic Disease → Kidney Failure,3,4,Anemia of Chronic Disease,Kidney Failure,5,2.2,Plasmodium hemolysis → chronic anemia → erythropoietin deficiency from renal inflammation → CKD progression,Sub-Saharan Africa comorbidity studies; WHO Kenya disease burden data,"Repeated malaria episodes, sickle cell trait, malnutrition",No,No
CHAIN_006,Malaria → Anemia → Anemia of Chronic Disease → Kidney Failure,4,4,Kidney Failure,End of trajectory,—,7.2,Plasmodium hemolysis → chronic anemia → erythropoietin deficiency from renal inflammation → CKD progression,Sub-Saharan Africa comorbidity studies; WHO Kenya disease burden data,"Repeated malaria episodes, sickle cell trait, malnutrition",No,Yes
CHAIN_007,Pharyngitis → Scarlet Fever → Chronic Rheumatic Fever → Mitral Valve Disease,1,4,Pharyngitis,Scarlet Fever,0.1,0.0,Group A Strep throat → toxin-mediated scarlet fever → molecular mimicry inflames heart valves → permanent valve damage,WHO rheumatic heart disease Africa burden; classic cardiology trajectory,"Age 5-15, poverty, overcrowding, untreated strep",Yes,No
CHAIN_007,Pharyngitis → Scarlet Fever → Chronic Rheumatic Fever → Mitral Valve Disease,2,4,Scarlet Fever,Chronic Rheumatic Fever,0.5,0.1,Group A Strep throat → toxin-mediated scarlet fever → molecular mimicry inflames heart valves → permanent valve damage,WHO rheumatic heart disease Africa burden; classic cardiology trajectory,"Age 5-15, poverty, overcrowding, untreated strep",No,No
CHAIN_007,Pharyngitis → Scarlet Fever → Chronic Rheumatic Fever → Mitral Valve Disease,3,4,Chronic Rheumatic Fever,Mitral Valve Disease,5,0.6,Group A Strep throat → toxin-mediated scarlet fever → molecular mimicry inflames heart valves → permanent valve damage,WHO rheumatic heart disease Africa burden; classic cardiology trajectory,"Age 5-15, poverty, overcrowding, untreated strep",No,No
CHAIN_007,Pharyngitis → Scarlet Fever → Chronic Rheumatic Fever → Mitral Valve Disease,4,4,Mitral Valve Disease,End of trajectory,—,5.6,Group A Strep throat → toxin-mediated scarlet fever → molecular mimicry inflames heart valves → permanent valve damage,WHO rheumatic heart disease Africa burden; classic cardiology trajectory,"Age 5-15, poverty, overcrowding, untreated strep",No,Yes
CHAIN_008,UTI → Pyelonephritis → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease,1,4,Urinary Tract Infection (UTI),Pyelonephritis,0.2,0.0,Ascending bacterial infection → renal parenchymal scarring → reduced nephrons → CKD → reduced EPO → anemia,PMID:35306857 cSPADE comorbidity patterns,"Female sex, catheter use, structural urinary anomalies, diabetes",Yes,No
CHAIN_008,UTI → Pyelonephritis → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease,2,4,Pyelonephritis,Chronic Kidney Disease,3,0.2,Ascending bacterial infection → renal parenchymal scarring → reduced nephrons → CKD → reduced EPO → anemia,PMID:35306857 cSPADE comorbidity patterns,"Female sex, catheter use, structural urinary anomalies, diabetes",No,No
CHAIN_008,UTI → Pyelonephritis → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease,3,4,Chronic Kidney Disease,Anemia due to Chronic Kidney Disease,4,3.2,Ascending bacterial infection → renal parenchymal scarring → reduced nephrons → CKD → reduced EPO → anemia,PMID:35306857 cSPADE comorbidity patterns,"Female sex, catheter use, structural urinary anomalies, diabetes",No,No
CHAIN_008,UTI → Pyelonephritis → Chronic Kidney Disease → Anemia due to Chronic Kidney Disease,4,4,Anemia due to Chronic Kidney Disease,End of trajectory,—,7.2,Ascending bacterial infection → renal parenchymal scarring → reduced nephrons → CKD → reduced EPO → anemia,PMID:35306857 cSPADE comorbidity patterns,"Female sex, catheter use, structural urinary anomalies, diabetes",No,Yes
CHAIN_009,Hepatitis due to a Toxin → Cirrhosis → Esophageal Varices → Gastrointestinal Hemorrhage,1,4,Hepatitis due to a Toxin,Cirrhosis,2,0.0,Toxic liver injury → portal hypertension from fibrosis → varices form → rupture and bleed,Denmark disease trajectory browser; gastroenterology clinical guidelines,"Alcohol use disorder, aflatoxin exposure, herbal medicine toxicity",Yes,No
CHAIN_009,Hepatitis due to a Toxin → Cirrhosis → Esophageal Varices → Gastrointestinal Hemorrhage,2,4,Cirrhosis,Esophageal Varices,5,2.0,Toxic liver injury → portal hypertension from fibrosis → varices form → rupture and bleed,Denmark disease trajectory browser; gastroenterology clinical guidelines,"Alcohol use disorder, aflatoxin exposure, herbal medicine toxicity",No,No
CHAIN_009,Hepatitis due to a Toxin → Cirrhosis → Esophageal Varices → Gastrointestinal Hemorrhage,3,4,Esophageal Varices,Gastrointestinal Hemorrhage,2,7.0,Toxic liver injury → portal hypertension from fibrosis → varices form → rupture and bleed,Denmark disease trajectory browser; gastroenterology clinical guidelines,"Alcohol use disorder, aflatoxin exposure, herbal medicine toxicity",No,No
CHAIN_009,Hepatitis due to a Toxin → Cirrhosis → Esophageal Varices → Gastrointestinal Hemorrhage,4,4,Gastrointestinal Hemorrhage,End of trajectory,—,9.0,Toxic liver injury → portal hypertension from fibrosis → varices form → rupture and bleed,Denmark disease trajectory browser; gastroenterology clinical guidelines,"Alcohol use disorder, aflatoxin exposure, herbal medicine toxicity",No,Yes
CHAIN_010,Asthma → Emphysema → Pulmonary Congestion → Pulmonary Fibrosis,1,4,Asthma,Emphysema,8,0.0,Chronic airway inflammation → alveolar destruction → fluid buildup → progressive irreversible scarring,Nature Communications COPD trajectory cluster; Denmark DTB,"Smoking, biomass fuel exposure, occupational dust, uncontrolled asthma",Yes,No
CHAIN_010,Asthma → Emphysema → Pulmonary Congestion → Pulmonary Fibrosis,2,4,Emphysema,Pulmonary Congestion,5,8.0,Chronic airway inflammation → alveolar destruction → fluid buildup → progressive irreversible scarring,Nature Communications COPD trajectory cluster; Denmark DTB,"Smoking, biomass fuel exposure, occupational dust, uncontrolled asthma",No,No
CHAIN_010,Asthma → Emphysema → Pulmonary Congestion → Pulmonary Fibrosis,3,4,Pulmonary Congestion,Pulmonary Fibrosis,4,13.0,Chronic airway inflammation → alveolar destruction → fluid buildup → progressive irreversible scarring,Nature Communications COPD trajectory cluster; Denmark DTB,"Smoking, biomass fuel exposure, occupational dust, uncontrolled asthma",No,No
CHAIN_010,Asthma → Emphysema → Pulmonary Congestion → Pulmonary Fibrosis,4,4,Pulmonary Fibrosis,End of trajectory,—,17.0,Chronic airway inflammation → alveolar destruction → fluid buildup → progressive irreversible scarring,Nature Communications COPD trajectory cluster; Denmark DTB,"Smoking, biomass fuel exposure, occupational dust, uncontrolled asthma",No,Yes
CHAIN_011,Bronchitis → Asthma → Emphysema → Pulmonary Fibrosis,1,4,Bronchitis,Asthma,2,0.0,Recurrent airway inflammation sensitizes airways → fixed obstruction → emphysematous changes → fibrosis,Denmark 6.2M patient COPD trajectory cluster,"Indoor smoke, tobacco, viral infections, air pollution",Yes,No
CHAIN_011,Bronchitis → Asthma → Emphysema → Pulmonary Fibrosis,2,4,Asthma,Emphysema,6,2.0,Recurrent airway inflammation sensitizes airways → fixed obstruction → emphysematous changes → fibrosis,Denmark 6.2M patient COPD trajectory cluster,"Indoor smoke, tobacco, viral infections, air pollution",No,No
CHAIN_011,Bronchitis → Asthma → Emphysema → Pulmonary Fibrosis,3,4,Emphysema,Pulmonary Fibrosis,5,8.0,Recurrent airway inflammation sensitizes airways → fixed obstruction → emphysematous changes → fibrosis,Denmark 6.2M patient COPD trajectory cluster,"Indoor smoke, tobacco, viral infections, air pollution",No,No
CHAIN_011,Bronchitis → Asthma → Emphysema → Pulmonary Fibrosis,4,4,Pulmonary Fibrosis,End of trajectory,—,13.0,Recurrent airway inflammation sensitizes airways → fixed obstruction → emphysematous changes → fibrosis,Denmark 6.2M patient COPD trajectory cluster,"Indoor smoke, tobacco, viral infections, air pollution",No,Yes
CHAIN_012,Hypercholesterolemia → Coronary Atherosclerosis → Hypertensive Heart Disease → Atrial Fibrillation → Stroke,1,5,Hypercholesterolemia,Coronary Atherosclerosis,5,0.0,LDL plaque builds in coronaries → cardiac remodeling → electrical instability → cardioembolic stroke,ScienceDirect comorbidity Japan elderly study 2025; Denmark DTB,"Male, age>50, smoking, diabetes, family history",Yes,No
CHAIN_012,Hypercholesterolemia → Coronary Atherosclerosis → Hypertensive Heart Disease → Atrial Fibrillation → Stroke,2,5,Coronary Atherosclerosis,Hypertensive Heart Disease,6,5.0,LDL plaque builds in coronaries → cardiac remodeling → electrical instability → cardioembolic stroke,ScienceDirect comorbidity Japan elderly study 2025; Denmark DTB,"Male, age>50, smoking, diabetes, family history",No,No
CHAIN_012,Hypercholesterolemia → Coronary Atherosclerosis → Hypertensive Heart Disease → Atrial Fibrillation → Stroke,3,5,Hypertensive Heart Disease,Atrial Fibrillation,3,11.0,LDL plaque builds in coronaries → cardiac remodeling → electrical instability → cardioembolic stroke,ScienceDirect comorbidity Japan elderly study 2025; Denmark DTB,"Male, age>50, smoking, diabetes, family history",No,No
CHAIN_012,Hypercholesterolemia → Coronary Atherosclerosis → Hypertensive Heart Disease → Atrial Fibrillation → Stroke,4,5,Atrial Fibrillation,Stroke,2,14.0,LDL plaque builds in coronaries → cardiac remodeling → electrical instability → cardioembolic stroke,ScienceDirect comorbidity Japan elderly study 2025; Denmark DTB,"Male, age>50, smoking, diabetes, family history",No,No
CHAIN_012,Hypercholesterolemia → Coronary Atherosclerosis → Hypertensive Heart Disease → Atrial Fibrillation → Stroke,5,5,Stroke,End of trajectory,—,16.0,LDL plaque builds in coronaries → cardiac remodeling → electrical instability → cardioembolic stroke,ScienceDirect comorbidity Japan elderly study 2025; Denmark DTB,"Male, age>50, smoking, diabetes, family history",No,Yes
CHAIN_013,Hypertension → Stroke → Vascular Dementia pathway (Neuralgia),1,4,Hypertension,Stroke,7,0.0,Chronic high BP damages cerebral vasculature → ischemic event → TIA recurrence → neuropathic pain from nerve ischemia,PMC 2025 sequential comorbidity; Lancet Digital Health 2022,"Uncontrolled BP, smoking, atrial fibrillation, elderly",Yes,No
CHAIN_013,Hypertension → Stroke → Vascular Dementia pathway (Neuralgia),2,4,Stroke,Transient ischemic attack,1,7.0,Chronic high BP damages cerebral vasculature → ischemic event → TIA recurrence → neuropathic pain from nerve ischemia,PMC 2025 sequential comorbidity; Lancet Digital Health 2022,"Uncontrolled BP, smoking, atrial fibrillation, elderly",No,No
CHAIN_013,Hypertension → Stroke → Vascular Dementia pathway (Neuralgia),3,4,Transient ischemic attack,Neuralgia,2,8.0,Chronic high BP damages cerebral vasculature → ischemic event → TIA recurrence → neuropathic pain from nerve ischemia,PMC 2025 sequential comorbidity; Lancet Digital Health 2022,"Uncontrolled BP, smoking, atrial fibrillation, elderly",No,No
CHAIN_013,Hypertension → Stroke → Vascular Dementia pathway (Neuralgia),4,4,Neuralgia,End of trajectory,—,10.0,Chronic high BP damages cerebral vasculature → ischemic event → TIA recurrence → neuropathic pain from nerve ischemia,PMC 2025 sequential comorbidity; Lancet Digital Health 2022,"Uncontrolled BP, smoking, atrial fibrillation, elderly",No,Yes
CHAIN_014,Hashimoto Thyroiditis → Hypothyroidism → Hypercholesterolemia → Coronary Atherosclerosis,1,4,Hashimoto Thyroiditis,Hypothyroidism,3,0.0,Autoimmune thyroid destruction → low T3/T4 → impaired lipid metabolism → LDL elevation → atherosclerosis,Endocrine comorbidity studies; Denmark DTB thyroid cluster,"Female sex, age>40, family history of autoimmune disease",Yes,No
CHAIN_014,Hashimoto Thyroiditis → Hypothyroidism → Hypercholesterolemia → Coronary Atherosclerosis,2,4,Hypothyroidism,Hypercholesterolemia,4,3.0,Autoimmune thyroid destruction → low T3/T4 → impaired lipid metabolism → LDL elevation → atherosclerosis,Endocrine comorbidity studies; Denmark DTB thyroid cluster,"Female sex, age>40, family history of autoimmune disease",No,No
CHAIN_014,Hashimoto Thyroiditis → Hypothyroidism → Hypercholesterolemia → Coronary Atherosclerosis,3,4,Hypercholesterolemia,Coronary Atherosclerosis,6,7.0,Autoimmune thyroid destruction → low T3/T4 → impaired lipid metabolism → LDL elevation → atherosclerosis,Endocrine comorbidity studies; Denmark DTB thyroid cluster,"Female sex, age>40, family history of autoimmune disease",No,No
CHAIN_014,Hashimoto Thyroiditis → Hypothyroidism → Hypercholesterolemia → Coronary Atherosclerosis,4,4,Coronary Atherosclerosis,End of trajectory,—,13.0,Autoimmune thyroid destruction → low T3/T4 → impaired lipid metabolism → LDL elevation → atherosclerosis,Endocrine comorbidity studies; Denmark DTB thyroid cluster,"Female sex, age>40, family history of autoimmune disease",No,Yes
CHAIN_015,Gestational Diabetes → Type 2 Diabetes → Hypertension → Chronic Kidney Disease,1,4,Gestational Diabetes,Type 2 Diabetes,5,0.0,Insulin resistance in pregnancy predicts future T2DM; metabolic damage cascades to renal involvement,PMID:35306857; WHO maternal health comorbidity studies,"Obesity, family history of DM, age>30, multiple pregnancies",Yes,No
CHAIN_015,Gestational Diabetes → Type 2 Diabetes → Hypertension → Chronic Kidney Disease,2,4,Type 2 Diabetes,Hypertension,4,5.0,Insulin resistance in pregnancy predicts future T2DM; metabolic damage cascades to renal involvement,PMID:35306857; WHO maternal health comorbidity studies,"Obesity, family history of DM, age>30, multiple pregnancies",No,No
CHAIN_015,Gestational Diabetes → Type 2 Diabetes → Hypertension → Chronic Kidney Disease,3,4,Hypertension,Chronic Kidney Disease,6,9.0,Insulin resistance in pregnancy predicts future T2DM; metabolic damage cascades to renal involvement,PMID:35306857; WHO maternal health comorbidity studies,"Obesity, family history of DM, age>30, multiple pregnancies",No,No
CHAIN_015,Gestational Diabetes → Type 2 Diabetes → Hypertension → Chronic Kidney Disease,4,4,Chronic Kidney Disease,End of trajectory,—,15.0,Insulin resistance in pregnancy predicts future T2DM; metabolic damage cascades to renal involvement,PMID:35306857; WHO maternal health comorbidity studies,"Obesity, family history of DM, age>30, multiple pregnancies",No,Yes
CHAIN_016,Anxiety → Alcohol Use Disorder → Cirrhosis → Hepatic Encephalopathy,1,4,Anxiety,Alcohol Use Disorder,2,0.0,Anxiety drives self-medication with alcohol → chronic hepatotoxicity → cirrhosis → ammonia accumulation → brain dysfunction,PMC 2025 cSPADE mental health patterns; WHO alcohol-liver trajectory,"Male sex, trauma history, social isolation, poor coping",Yes,No
CHAIN_016,Anxiety → Alcohol Use Disorder → Cirrhosis → Hepatic Encephalopathy,2,4,Alcohol Use Disorder,Cirrhosis,8,2.0,Anxiety drives self-medication with alcohol → chronic hepatotoxicity → cirrhosis → ammonia accumulation → brain dysfunction,PMC 2025 cSPADE mental health patterns; WHO alcohol-liver trajectory,"Male sex, trauma history, social isolation, poor coping",No,No
CHAIN_016,Anxiety → Alcohol Use Disorder → Cirrhosis → Hepatic Encephalopathy,3,4,Cirrhosis,Hepatic Encephalopathy,3,10.0,Anxiety drives self-medication with alcohol → chronic hepatotoxicity → cirrhosis → ammonia accumulation → brain dysfunction,PMC 2025 cSPADE mental health patterns; WHO alcohol-liver trajectory,"Male sex, trauma history, social isolation, poor coping",No,No
CHAIN_016,Anxiety → Alcohol Use Disorder → Cirrhosis → Hepatic Encephalopathy,4,4,Hepatic Encephalopathy,End of trajectory,—,13.0,Anxiety drives self-medication with alcohol → chronic hepatotoxicity → cirrhosis → ammonia accumulation → brain dysfunction,PMC 2025 cSPADE mental health patterns; WHO alcohol-liver trajectory,"Male sex, trauma history, social isolation, poor coping",No,Yes
CHAIN_017,Depression → Obesity → Type 2 Diabetes → Diabetic retinopathy,1,4,Depression,Obesity,3,0.0,Depression causes hyperphagia and inactivity → weight gain → insulin resistance → microvascular retinal damage,Lancet Digital Health 2022 multimorbidity study,"Female sex, socioeconomic deprivation, poor mental health treatment",Yes,No
CHAIN_017,Depression → Obesity → Type 2 Diabetes → Diabetic retinopathy,2,4,Obesity,Type 2 Diabetes,4,3.0,Depression causes hyperphagia and inactivity → weight gain → insulin resistance → microvascular retinal damage,Lancet Digital Health 2022 multimorbidity study,"Female sex, socioeconomic deprivation, poor mental health treatment",No,No
CHAIN_017,Depression → Obesity → Type 2 Diabetes → Diabetic retinopathy,3,4,Type 2 Diabetes,Diabetic retinopathy,7,7.0,Depression causes hyperphagia and inactivity → weight gain → insulin resistance → microvascular retinal damage,Lancet Digital Health 2022 multimorbidity study,"Female sex, socioeconomic deprivation, poor mental health treatment",No,No
CHAIN_017,Depression → Obesity → Type 2 Diabetes → Diabetic retinopathy,4,4,Diabetic retinopathy,End of trajectory,—,14.0,Depression causes hyperphagia and inactivity → weight gain → insulin resistance → microvascular retinal damage,Lancet Digital Health 2022 multimorbidity study,"Female sex, socioeconomic deprivation, poor mental health treatment",No,Yes
CHAIN_018,Bipolar Disorder → Opioid Use Disorder → Drug Withdrawal → Seizure/Neuralgia,1,4,Bipolar Disorder,Opioid Use Disorder,3,0.0,Bipolar pain and impulsivity → opioid self-medication → dependence → withdrawal-induced neuropathic pain,SAMHDA substance use comorbidity data; PMC mental health patterns,"History of trauma, inadequate psychiatric treatment, poverty",Yes,No
CHAIN_018,Bipolar Disorder → Opioid Use Disorder → Drug Withdrawal → Seizure/Neuralgia,2,4,Opioid Use Disorder,Drug Withdrawal,2,3.0,Bipolar pain and impulsivity → opioid self-medication → dependence → withdrawal-induced neuropathic pain,SAMHDA substance use comorbidity data; PMC mental health patterns,"History of trauma, inadequate psychiatric treatment, poverty",No,No
CHAIN_018,Bipolar Disorder → Opioid Use Disorder → Drug Withdrawal → Seizure/Neuralgia,3,4,Drug Withdrawal,Neuralgia,1,5.0,Bipolar pain and impulsivity → opioid self-medication → dependence → withdrawal-induced neuropathic pain,SAMHDA substance use comorbidity data; PMC mental health patterns,"History of trauma, inadequate psychiatric treatment, poverty",No,No
CHAIN_018,Bipolar Disorder → Opioid Use Disorder → Drug Withdrawal → Seizure/Neuralgia,4,4,Neuralgia,End of trajectory,—,6.0,Bipolar pain and impulsivity → opioid self-medication → dependence → withdrawal-induced neuropathic pain,SAMHDA substance use comorbidity data; PMC mental health patterns,"History of trauma, inadequate psychiatric treatment, poverty",No,Yes
CHAIN_019,Osteoporosis → Fracture → Complex Regional Pain Syndrome → Fibromyalgia,1,4,Osteoporosis,Fracture,3,0.0,Low bone density → pathological fracture → nerve sensitization at injury site → central pain sensitization,Japan elderly comorbidity study 2025; Denmark DTB fracture trajectories,"Female, postmenopausal, calcium deficiency, steroid use",Yes,No
CHAIN_019,Osteoporosis → Fracture → Complex Regional Pain Syndrome → Fibromyalgia,2,4,Fracture,Complex Regional Pain Syndrome (CRPS),1,3.0,Low bone density → pathological fracture → nerve sensitization at injury site → central pain sensitization,Japan elderly comorbidity study 2025; Denmark DTB fracture trajectories,"Female, postmenopausal, calcium deficiency, steroid use",No,No
CHAIN_019,Osteoporosis → Fracture → Complex Regional Pain Syndrome → Fibromyalgia,3,4,Complex Regional Pain Syndrome (CRPS),Fibromyalgia,2,4.0,Low bone density → pathological fracture → nerve sensitization at injury site → central pain sensitization,Japan elderly comorbidity study 2025; Denmark DTB fracture trajectories,"Female, postmenopausal, calcium deficiency, steroid use",No,No
